Titulo,Sinopsis,Año,Duracion(min),Calificacion,Genero,Sonido
Lo imposible,"Esta película aclamada por la por Naomi Watts y Ewan McGregor está basada en la verdadera historia de una familia atrapada en una de las peores catástrofes naturales de nuestro tiempo, el tsunami del 2004, que devastó el sudeste asiático.",2012,113,SAM13,"DRAMA, MISTERIO/SUSPENSO",SONIDO ENVOLVENTE 5.1
Sin escalas,Un Comisario aéreo usa su astucia con un terrorista americano amargado que amenaza con matar a un pasajero cada 20 minutos a menos que el Comisario se suicide.,2014,106,SAM13,ACCIÓN,SONIDO ENVOLVENTE 5.1
Los ilusionistas: Nada es lo que parece,"Un thriller de misterio protagonizado por Mark Ruffalo y Woody Harrelson. Cuatro magos talentosos son sacados del anonimato para convertirse en los Cuatro Jinetes, un grupo de ilusionistas de escenario que pronto atraerán la atención del FBI.",2013,115,SAM13,"ACCIÓN, DE AVENTURAS",SONIDO ENVOLVENTE 5.1
Después Del Sexo,"¿De qué hablamos cuando el sexo termina? Conoce a ocho parejas -heterosexuales y gays, vírgenes y extraños, amantes, mentirosos, engañadores y swingers.",2007,77,SAM16,"COMEDIA, DRAMA",ESTÉREO
Halloween 4: el regreso de Michael Myers,"Hace diez años, cambió la manera de vivir el día de brujas. Esta noche...¡él está de vuelta!",1988,88,SAM16,DE TERROR,ESTÉREO
Halloween 5: la venganza de Michael Myers,"Los ciudadanos de Haddonfield, Illinois, están a punto de soportar la venganza de Michael Myers, ya que el presunto asesino muerto ha vuelto para a matar de nuevo. Protagonizada por Donald Pleasance y Danielle Harris.",1989,97,SAM16,DE TERROR,ESTÉREO
Lugares oscuros,"Charlize Theron, Nicholas Hoult, Cholë Grace Moretz y Christina Hendricks protagonizan este thriller de misterio, basado en la novela de Gillian Flynn (Perdida).",2015,113,SAM16,"CRIMEN, MISTERIO",SONIDO ENVOLVENTE 5.1
Crímenes ocultos,Un agente soviético caído en desgracia descubre una conexión entre una serie de asesinatos infantiles y el líder de un partido. Those who seek the truth will be silenced. Basada en una novela de Tom Rob Smith.,2015,137,SAM16,"CRIMEN, DRAMA",SONIDO ENVOLVENTE 5.1
Dónde Está El Dinero,"Un joven de agudo intelecto, proveniente de las calles de South Central, debe ser reclutado en una fraternidad elitista en USC para recuperar dinero robado.",2017,85,SAM16,COMEDIA,SONIDO ENVOLVENTE 5.1
Punto ciego,Los amigos de toda la vida Daveed Diggs y Rafael Casal coescribieron y protagonizaron esta entretenida historia sobre las interacciones de las razas y clases en una Oakland en rápido crecimiento.,2018,95,SAM16,"COMEDIA, DRAMA",SONIDO ENVOLVENTE 5.1
